compound	reaction	type	A2O_abundance	AO_abundance
C00004	R08306	NA	1.3029350104821804	1.3792517006802723
C00080	R08306	NA	1.3029350104821804	1.3792517006802723
C16586	R08306	NA	1.3029350104821804	1.3792517006802723
C16587	R08306	NA	1.3029350104821804	1.3792517006802723
C00001	R02425	NA	0.20754716981132076	0.1326530612244898
C00499	R02425	NA	0.20754716981132076	0.1326530612244898
C02350	R02425	NA	0.20754716981132076	0.1326530612244898
C00001	R02426	NA	0.2138364779874214	0.14285714285714285
C00501	R02426	NA	0.2138364779874214	0.14285714285714285
C01219	R02426	NA	0.2138364779874214	0.14285714285714285
C00001	R02427	NA	0.12578616352201258	0.07142857142857142
C00502	R02427	NA	0.12578616352201258	0.07142857142857142
C02266	R02427	NA	0.12578616352201258	0.07142857142857142
C00008	R02421	NA	0.9716981132075472	0.9132653061224489
C00498	R02421	NA	0.9716981132075472	0.9132653061224489
C00718	R02421	NA	0.9716981132075472	0.9132653061224489
C00718	R02421	NA	0.9716981132075472	0.9132653061224489
C00001	R02422	NA	0.1320754716981132	0.09183673469387756
C00086	R02422	NA	0.1320754716981132	0.09183673469387756
C00499	R02422	NA	0.1320754716981132	0.09183673469387756
C00603	R02422	NA	0.1320754716981132	0.09183673469387756
C00001	R02423	NA	0.03773584905660377	0.05102040816326531
C00011	R02423	NA	0.03773584905660377	0.05102040816326531
C00014	R02423	NA	0.03773584905660377	0.05102040816326531
C00499	R02423	NA	0.03773584905660377	0.05102040816326531
C02091	R02423	NA	0.03773584905660377	0.05102040816326531
C00019	R10455	NA	0.0	0.02040816326530612
C00170	R10455	NA	0.0	0.02040816326530612
C04441	R10455	NA	0.0	0.02040816326530612
C20663	R10455	NA	0.0	0.02040816326530612
C00011	R00685	NA	0.5974842767295597	0.5714285714285714
C00078	R00685	NA	0.5974842767295597	0.5714285714285714
C00398	R00685	NA	0.5974842767295597	0.5714285714285714
C00019	R10649	NA	0.4025157232704403	0.3163265306122449
C00021	R10649	NA	0.4025157232704403	0.3163265306122449
C00073	R10649	NA	0.4025157232704403	0.3163265306122449
C05198	R10649	NA	0.4025157232704403	0.3163265306122449
C17023	R10649	NA	0.4025157232704403	0.3163265306122449
C20751	R10649	NA	0.4025157232704403	0.3163265306122449
C20752	R10649	NA	0.4025157232704403	0.3163265306122449
C00001	R07795	NA	0.3522012578616352	0.23469387755102042
C00007	R07795	NA	0.3522012578616352	0.23469387755102042
C00094	R07795	NA	0.3522012578616352	0.23469387755102042
C02501	R07795	NA	0.3522012578616352	0.23469387755102042
C06336	R07795	NA	0.3522012578616352	0.23469387755102042
C00423	R07796	NA	0.006289308176100629	0.0
C05607	R07796	NA	0.006289308176100629	0.0
C16256	R07796	NA	0.006289308176100629	0.0
C16257	R07796	NA	0.006289308176100629	0.0
C00001	R03084	NA	0.7987421383647799	0.7244897959183674
C00944	R03084	NA	0.7987421383647799	0.7244897959183674
C02637	R03084	NA	0.7987421383647799	0.7244897959183674
C00009	R03083	NA	0.8113207547169812	0.7448979591836735
C00944	R03083	NA	0.8113207547169812	0.7448979591836735
